Name,AUID,Coords,Const,Type,Period,Mag
"V0343 Gem","000-BCV-968","07 29 18.18 +22 47 19.1","Gem","SRB","29.73","7.61 - 7.86 Hp"
"V0344 Gem","000-BDQ-947","07 34 19.59 +14 45 11.2","Gem","DSCTC","0.118177","8.07 - 8.1 Hp"
"V0345 Gem","000-BCV-969","07 38 30.22 +33 42 41.5","Gem","EW","0.2747736","7.82 - 7.88 Hp"
"V0346 Gem","000-BCV-970","07 41 05.84 +16 52 24.0","Gem","SRD:","24.215","8.37 - 8.51 Hp"
"V0347 Gem","000-BCV-971","07 44 09.65 +14 10 23.6","Gem","LB:","5.5794","7.28 - 7.39 Hp"
"V0348 Gem","000-BDQ-948","07 44 44.91 +32 20 45.5","Gem","E:","2.02808","8.5 - 8.58 Hp"
"V0349 Gem","000-BCV-972","06 20 36.48 +23 46 29.6","Gem","M","396.3866931","17.027 (3.731) g"
"V0353 Gem","000-BCV-973","07 52 52.58 +13 22 55.8","Gem","LB","329","12.02 (1.3) V"
"V0369 Gem","000-BDQ-965","07 02 23.32 +25 50 45.6","Gem","RS","0.423061","7.93 - 8.14 V"
"V0373 Gem","000-BFQ-429","07 11 55.32 +23 24 55.9","Gem","EB","1.60498","9.26 - 9.42 V"
"V0389 Gem","--","07 21 03.31 +25 40 07.8","Gem","EA","1.04776","8.74 - 8.92 V"
"V0417 Gem","000-BGH-555","06 59 48.42 +27 41 58.7","Gem","EW","0.328532","9.80 - 9.92 V"
"V0422 Gem","000-BMD-327","07 12 41.66 +16 05 04.5","Gem","EA","7.5424","8.14 - 8.31 V"
"V0454 Gem","000-BGH-940","07 05 47.61 +15 01 21.4","Gem","RS","35.53","9.37 - 9.46 V"
"V0455 Gem","000-BLG-152","07 08 53.85 +19 19 38.0","Gem","GDOR","0.709164","8.70 - 8.78 V"
"V0474 Gem","--","07 45 16.39 +20 23 16.4","Gem","RS","12.134","9.58 - 9.71 V"
"V0499 Gem","--","07 27 09.79 +29 17 16.4","Gem","EB","0.9356","9.57 - 9.89 R1"
"V0502 Gem","--","07 30 58.16 +25 34 12.2","Gem","EB","0.658145","13.35 (1) V"
"V0514 Gem","--","07 49 00.85 +28 34 26.3","Gem","EA","2.849947","7.91 - 7.97 V"
"zet Gem","000-BBM-362","07 04 06.53 +20 34 13.1","Gem","DCEP","10.149806","3.62 - 4.18 V"
"eta Gem","000-BBK-904","06 14 52.66 +22 30 24.5","Gem","EA/GS+SRA","2979","3.1 - 3.7 V"
"mu. Gem","000-BBL-132","06 22 57.63 +22 30 48.9","Gem","SR","--","2.75 - 3.02 V"
"sig Gem","000-BCV-976","07 43 18.73 +28 53 00.6","Gem","RS","19.423","4.13 - 4.29 V"
"ome Gem","000-BBM-299","07 02 24.78 +24 12 55.6","Gem","L:","--","5.18 - 5.20 V"
"ASAS J060528+2220.7","000-BGD-707","06 05 27.89 +22 20 42.1","Gem","MISC","255.83371","13.28 (1.07) V"
"ASAS J062701+1747.4","000-BLH-091","06 27 00.61 +17 47 22.8","Gem","EA","4.04992","9.61 - 10.00 V"
"ASAS J064158+1743.5","--","06 41 58.00 +17 43 32.0","Gem","MISC","631","12.54 (1.16) V"
"ASAS J064751+1922.7","--","06 47 51.57 +19 22 40.2","Gem","MISC","72.1","12.49 (1) V"
"ASAS J065451+1910.3","--","06 54 51.32 +19 10 23.2","Gem","MISC","150.1","12.81 (1.06) V"
"ASAS J065528+2725.4","--","06 55 28.59 +27 25 26.3","Gem","M","343.1","8.977 (1.517) Ic"
"ASAS J065537+1535.1","--","06 55 37.20 +15 35 03.1","Gem","SRB","35.73","9.42 - 9.80 V"
"ASAS J065812+2635.6","--","06 58 11.88 +26 35 36.3","Gem","SRA","284","12.4 (1.4) V"
"ASAS J070234+2205.1","--","07 02 34.58 +22 05 02.2","Gem","MISC","200.872179","12.19 (1.63) V"
"ASAS J071800+1544.5","000-BMD-391","07 17 59.45 +15 44 27.8","Gem","SPB:","1.078175","8.01 - 8.07 V"
"ASAS J073424+2719.1","--","07 34 23.92 +27 19 11.5","Gem","MISC","326.599476","12.69 (1.26) V"
"ASAS J075406+2051.0","--","07 54 05.79 +20 51 02.1","Gem","MISC","80.195583","12.61 (1.32) V"
"ASASSN-V J060200.64+231540.1","--","06 02 00.64 +23 15 40.1","Gem","EA","3.6998","16.36 (1.04) g"
"ASASSN-V J062056.15+210127.0","--","06 20 56.15 +21 01 27.0","Gem","EA","3.8297","14.49 (1.83) g"
"ASASSN-V J063156.33+250202.1","--","06 31 56.33 +25 02 02.1","Gem","EA","1.4771","15.72 (1.10) g"
"ASASSN-V J063313.94+181645.1","--","06 33 13.94 +18 16 45.1","Gem","M","260.5241804","15.049 (1.726) g"
"ASASSN-V J063858.58+190904.6","--","06 38 58.57 +19 09 04.5","Gem","SR","199.0620627","13.591 (1.224) r"
"ASASSN-V J064158.75+144221.1","--","06 41 58.77 +14 42 21.1","Gem","SR","291.2448804","15.051 (1.376) g"
"ASASSN-V J064753.92+243924.2","--","06 47 53.92 +24 39 24.3","Gem","EA","1.4728","15.19 (1.60) g"
"ASASSN-V J065607.06+303026.1","--","06 56 07.06 +30 30 26.1","Gem","EW","0.346636","16.66 (1.05) g"
"ASASSN-V J070001.99+140731.9","--","07 00 01.99 +14 07 31.9","Gem","SR","494","13.47 (1.03) g"
"ASASSN-V J070130.47+302606.8","--","07 01 30.48 +30 26 06.9","Gem","EA","2.4002","14.57 (1.00) g"
"ASASSN-V J070219.92+162845.4","--","07 02 19.92 +16 28 45.5","Gem","EA","3.0346","13.44 (1.90) g"
"ASASSN-V J070514.53+220912.3","--","07 05 14.53 +22 09 12.3","Gem","EA","1.43893","13.856 (1.12) r"
"ASASSN-V J071041.00+285310.5","--","07 10 41.00 +28 53 10.5","Gem","SR","76.35","10.84 (1.12) g"
"ASASSN-V J071342.35+264720.7","--","07 13 42.35 +26 47 20.7","Gem","EA","3.5764","15.14 (1.32) g"
"ASASSN-V J071809.64+151907.7","--","07 18 09.64 +15 19 07.7","Gem","EA","3.7858","14.34 (1.05) g"
"ASASSN-V J072521.30+240628.7","--","07 25 21.30 +24 06 28.7","Gem","EB","0.478762","16.30 (1.03) g"
"ASASSN-V J072721.83+143337.5","--","07 27 21.83 +14 33 37.5","Gem","EA","1.5696","16.09 (1.04) g"
"ASASSN-V J080605.72+294359.9","--","08 06 05.72 +29 43 59.9","Gem","EA","1.9802","15.64 (1.08) g"
"BD+20 1762","--","07 18 05.70 +20 32 35.9","Gem","DSCTC","0.16010","8.99 - 9.01 CR"
"BMAM-V883","000-BPP-362","07 25 41.44 +24 59 23.9","Gem","EA","23.9355","9.26 - 9.66 V"
"CSS 071106:075747+305307","--","07 57 46.97 +30 53 07.2","Gem","UG","--","18.53 (4.47) clear"
"CSS_J071158.7+343131","--","07 11 59.02 +34 31 29.0","Gem","RRAB","0.5539893","18.888 (1.016) g"
"CSS_J071201.2+324255","--","07 12 01.19 +32 42 54.9","Gem","SR","127.243","16.550 (1.214) r"
"CSS_J071505.5+265937","--","07 15 05.46 +26 59 38.0","Gem","RRAB","0.538397","15.70 (1.15) CV"
"CSS_J071825.7+282648","--","07 18 25.80 +28 26 48.4","Gem","RRAB","0.5491422","14.582 (1.23) CV"
"CSS_J071846.6+271338","--","07 18 46.69 +27 13 38.2","Gem","EA","1.04698","15.32 (1.02) CV"
"CSS_J072002.2+324216","--","07 20 02.27 +32 42 16.0","Gem","LPV","109.661","16.50 (1.23) CV"
"CSS_J072040.1+254446","--","07 20 40.12 +25 44 46.1","Gem","EA","1.5388900","16.59 (1.09) CV"
"CSS_J072154.5+333020","--","07 21 54.55 +33 30 19.7","Gem","M","218.7384461","18.837 (4.345) g"
"CSS_J072241.7+245551","--","07 22 41.70 +24 55 52.2","Gem","RRAB","0.47321","15.584 (1.15) CV"
"CSS_J073443.0+151752","--","07 34 43.07 +15 17 52.6","Gem","RRAB","0.60037","16.20 (1.35) CV"
"CSS_J074126.9+290247","--","07 41 26.89 +29 02 47.8","Gem","M","266.7473351","16.000 (5.411) g"
"CSS_J074153.1+293915","--","07 41 53.18 +29 39 15.5","Gem","RRAB","0.558342","18.95 (1.12) CV"
"CSS_J075348.1+263242","--","07 53 48.17 +26 32 42.0","Gem","RRAB","0.467413","15.67 (1.20) CV"
"CSS_J075353.9+274824","--","07 53 53.97 +27 48 24.5","Gem","EA","1.0461420","17.10 (1.22) CV"
"CSS_J075510.1+163153","--","07 55 10.16 +16 31 53.3","Gem","RRAB","0.45467","16.675 (1.07) CV"
"CSS_J075525.1+171354","--","07 55 25.17 +17 13 54.0","Gem","RRAB","0.49716","15.40 (1.04) CV"
"CSS_J075744.4+274009","--","07 57 44.46 +27 40 09.4","Gem","EW","0.2581730","18.993 (1.011) g"
"CSS_J080016.8+320949","--","08 00 16.87 +32 09 49.2","Gem","SR","134.228","17.42 (1.09) CV"
"CSS_J080123.3+290820","--","08 01 23.35 +29 08 20.2","Gem","RRAB","0.549174","20.16 (1.25) CV"
"CzeV3362","000-BPG-942","06 17 26.24 +22 25 37.5","Gem","EA","5.213107","9.70 - 9.82 V"
"CzeV4192","--","06 21 07.94 +22 09 57.0","Gem","EA+DSCT","2.589006","8.784 - 8.804 V"
"CzeV4213","--","06 18 37.16 +22 07 37.3","Gem","GDOR","0.334093","9.15 - 9.17 V"
"CzeV4282","--","06 59 28.20 +14 19 34.9","Gem","DSCT","0.142792","8.64 - 8.68 V"
"eps Gem","000-BBL-733","06 43 55.92 +25 07 52.0","Gem","LC","--","2.97 - 3.05 V"
"Gaia DR2 3331505358693862784","--","06 28 30.17 +12 46 40.4","Gem","M","422.6","14.985 (2.453) Ic"
"Gaia DR2 3425742571868396032","--","06 22 03.96 +24 43 13.9","Gem","RRAB","0.4199490","18.489 (1.041) g"
"Gaia DR3 3152342820867016832","--","07 48 06.02 +13 27 53.0","Gem","DSCT|GDOR|SXPHE","--","9.87 - 9.91 G"
"Gaia DR3 3160339916829971584","--","07 12 27.57 +12 31 57.5","Gem","ACV|roAm|roAp|SXARI","--","8.16 - 8.20 G"
"Gaia DR3 3160384137813122176","--","07 12 41.88 +12 51 22.1","Gem","ACV|roAm|roAp|SXARI","--","9.53 - 9.56 G"
"Gaia DR3 3160652693530160768","--","07 04 31.13 +12 11 00.4","Gem","DSCT|GDOR|SXPHE","--","8.96 - 9.02 G"
"Gaia DR3 3160844008554010880","--","07 01 42.66 +12 19 59.0","Gem","ACV|roAm|roAp|SXARI","--","9.67 - 9.95 G"
"Gaia DR3 3160856201961435264","--","07 01 33.24 +12 32 52.5","Gem","ACV|roAm|roAp|SXARI","--","9.71 - 9.75 G"
"Gaia DR3 3161213577602013184","--","07 10 29.65 +13 22 00.6","Gem","ACV|roAm|roAp|SXARI","--","8.82 - 8.86 G"
"Gaia DR3 3162534572105966720","--","07 34 32.11 +12 18 16.7","Gem","ACV|roAm|roAp|SXARI","--","8.51 - 8.56 G"
"Gaia DR3 3163263896206036736","--","07 32 23.15 +12 40 00.3","Gem","DSCT|GDOR|SXPHE","--","9.01 - 9.04 G"
"Gaia DR3 3164420990458868992","--","07 46 15.68 +13 43 43.3","Gem","ACV|roAm|roAp|SXARI","--","8.58 - 8.62 G"
"Gaia DR3 3164420990458877824","--","07 46 15.74 +13 43 45.4","Gem","ACV|roAm|roAp|SXARI","--","9.36 - 9.42 G"
"Gaia DR3 3165306651370467200","--","07 33 15.53 +14 48 37.7","Gem","ACV|roAm|roAp|SXARI","--","8.79 - 8.83 G"
"Gaia DR3 3165309090912824704","--","07 33 26.84 +14 54 55.3","Gem","ACV|roAm|roAp|SXARI","--","9.81 - 9.84 G"
"Gaia DR3 3165379940692291840","--","07 36 17.03 +14 58 56.5","Gem","DSCT|GDOR|SXPHE","--","9.55 - 9.59 G"
"Gaia DR3 3165532841527947776","--","07 42 43.28 +15 15 32.9","Gem","ROT","--","8.82 - 8.86 G"
"Gaia DR3 3165589328938397568","--","07 42 14.83 +15 29 20.8","Gem","ACV|roAm|roAp|SXARI","--","9.79 - 9.81 G"
"Gaia DR3 3165628155442363392","--","07 43 44.40 +15 20 54.1","Gem","DSCT|GDOR|SXPHE","--","9.83 - 9.91 G"
"Gaia DR3 3165791398559688704","--","07 40 00.79 +15 36 46.2","Gem","ACV|roAm|roAp|SXARI","--","9.49 - 9.69 G"
"Gaia DR3 3165837333233761664","--","07 36 17.32 +15 35 32.0","Gem","ACV|roAm|roAp|SXARI","--","9.21 - 9.24 G"
"Gaia DR3 3165883894974592384","--","07 39 03.33 +16 10 32.5","Gem","ACV|roAm|roAp|SXARI","--","9.37 - 9.41 G"
"Gaia DR3 3166203268743691136","--","07 21 01.62 +13 04 45.1","Gem","ACV|roAm|roAp|SXARI","--","8.04 - 8.12 G"
"Gaia DR3 3166247902044268800","--","07 19 52.29 +13 08 05.8","Gem","ACV|roAm|roAp|SXARI","--","9.58 - 9.61 G"
"Gaia DR3 3166533225309118976","--","07 17 52.83 +13 47 07.9","Gem","ACV|roAm|roAp|SXARI","--","9.32 - 9.37 G"
"Gaia DR3 3166863869072823936","--","07 26 12.03 +14 50 32.4","Gem","ACV|roAm|roAp|SXARI","--","8.92 - 8.95 G"
"Gaia DR3 3166863869073599744","--","07 26 11.97 +14 50 25.2","Gem","ACV|roAm|roAp|SXARI","--","8.83 - 8.87 G"
"Gaia DR3 3167091979080330496","--","07 22 26.24 +14 56 30.0","Gem","ACV|roAm|roAp|SXARI","--","9.94 - 10.00 G"
"Gaia DR3 3167278797275073792","--","07 13 36.57 +14 15 02.3","Gem","ACV|roAm|roAp|SXARI","--","9.84 - 9.88 G"
"Gaia DR3 3167394864471030272","--","07 14 38.43 +14 33 41.1","Gem","ACV|roAm|roAp|SXARI","--","9.29 - 9.32 G"
"Gaia DR3 3167846007835603712","--","07 18 23.45 +15 24 17.1","Gem","ACV|roAm|roAp|SXARI","--","9.51 - 9.55 G"
"Gaia DR3 3167919846913240704","--","07 22 06.64 +15 45 24.7","Gem","ACV|roAm|roAp|SXARI","--","9.27 - 9.30 G"
"Gaia DR3 3168220666422089856","--","07 17 23.39 +16 19 22.8","Gem","ACV|roAm|roAp|SXARI","--","9.96 - 9.99 G"
"Gaia DR3 3168571101392117888","--","07 27 26.13 +15 18 58.8","Gem","ACV|roAm|roAp|SXARI","--","8.54 - 8.57 G"
"Gaia DR3 3168680532864140416","--","07 28 20.53 +15 59 15.1","Gem","ACV|roAm|roAp|SXARI","--","8.93 - 8.97 G"
"Gaia DR3 3168736543533990272","--","07 29 28.14 +16 09 50.7","Gem","ACV|roAm|roAp|SXARI","--","8.13 - 8.16 G"
"Gaia DR3 3169244517905909760","--","07 33 40.19 +17 15 48.9","Gem","DSCT|GDOR|SXPHE","--","9.93 - 10.00 G"
"Gaia DR3 3169468096724131840","--","07 25 01.15 +16 23 32.1","Gem","ACV|roAm|roAp|SXARI","--","9.88 - 9.90 G"
"Gaia DR3 3169634088620056576","--","07 25 59.21 +16 58 24.3","Gem","ACV|roAm|roAp|SXARI","--","8.94 - 8.97 G"
"Gaia DR3 3169755996969526528","--","07 22 34.43 +17 04 16.6","Gem","ACV|roAm|roAp|SXARI","--","9.86 - 9.89 G"
"Gaia DR3 3170412577211803136","--","07 29 04.46 +18 27 24.3","Gem","ACV|roAm|roAp|SXARI","--","9.34 - 9.37 G"
"Gaia DR3 3331440036533364096","--","06 29 18.44 +12 32 51.1","Gem","ACV|roAm|roAp|SXARI","--","9.05 - 9.14 G"
"Gaia DR3 3351753930470800000","--","06 48 50.73 +12 37 10.6","Gem","ACV|roAm|roAp|SXARI","--","9.06 - 9.08 G"
"Gaia DR3 3352419616044410240","--","06 47 06.33 +12 45 35.3","Gem","ACV|roAm|roAp|SXARI","--","9.61 - 9.66 G"
"Gaia DR3 3352429472988070528","--","06 46 27.93 +12 43 24.7","Gem","ACV|roAm|roAp|SXARI","--","9.57 - 9.60 G"
"Gaia DR3 3352571314288105344","--","06 49 08.16 +13 22 09.3","Gem","ACV|roAm|roAp|SXARI","--","8.92 - 8.94 G"
"Gaia DR3 3352804823071464704","--","06 45 46.04 +13 36 04.8","Gem","ACV|roAm|roAp|SXARI","--","9.27 - 9.29 G"
"Gaia DR3 3352825438914435328","--","06 46 35.50 +13 39 28.9","Gem","ACV|roAm|roAp|SXARI","--","9.15 - 9.17 G"
"Gaia DR3 3352843271619264768","--","06 45 35.19 +13 47 02.3","Gem","ACV|roAm|roAp|SXARI","--","9.74 - 9.78 G"
"Gaia DR3 3352852686186382848","--","06 46 18.28 +13 57 52.5","Gem","ACV|roAm|roAp|SXARI","--","9.54 - 9.56 G"
"Gaia DR3 3353228169406621952","--","06 53 52.19 +13 00 32.2","Gem","ACV|roAm|roAp|SXARI","--","9.97 - 9.99 G"
"Gaia DR3 3353395948005707264","--","06 57 34.45 +13 50 09.2","Gem","DSCT|GDOR|SXPHE","--","9.57 - 9.61 G"
"Gaia DR3 3353459096908761344","--","06 56 03.77 +13 56 20.6","Gem","ACV|roAm|roAp|SXARI","--","9.36 - 9.38 G"
"Gaia DR3 3354019847838461824","--","07 00 13.62 +15 19 37.4","Gem","ACV|roAm|roAp|SXARI","--","9.52 - 9.54 G"
"Gaia DR3 3354913097956834176","--","06 54 30.89 +15 26 19.0","Gem","ACV|roAm|roAp|SXARI","--","9.15 - 9.18 G"
"Gaia DR3 3355297106692159360","--","06 34 34.93 +12 52 47.7","Gem","ACV|roAm|roAp|SXARI","--","9.01 - 9.16 G"
"Gaia DR3 3355635206517976832","--","06 33 21.55 +13 40 53.4","Gem","ACV|roAm|roAp|SXARI","--","9.21 - 9.23 G"
"Gaia DR3 3355660770163141632","--","06 34 51.62 +13 53 42.0","Gem","E","1.11369","9.47 - 9.61 G"
"Gaia DR3 3355776901779440384","--","06 38 41.99 +13 42 25.5","Gem","BE|GCAS|SDOR|WR","--","9.60 - 9.86 G"
"Gaia DR3 3356189394738444928","--","06 38 20.59 +14 46 28.7","Gem","ACV|roAm|roAp|SXARI","--","9.64 - 9.66 G"
"Gaia DR3 3356278042862885504","--","06 38 51.14 +15 14 14.6","Gem","ACV|roAm|roAp|SXARI","--","9.27 - 9.29 G"
"Gaia DR3 3356905382966887040","--","06 33 52.46 +15 03 26.1","Gem","DSCT|GDOR|SXPHE","--","9.62 - 9.64 G"
"Gaia DR3 3356926033168952576","--","06 34 46.27 +15 04 38.7","Gem","ROT","--","8.17 - 8.21 G"
"Gaia DR3 3356942212305783552","--","06 32 18.40 +14 51 32.8","Gem","ACV|roAm|roAp|SXARI","--","9.13 - 9.16 G"
"Gaia DR3 3357483382485001472","--","06 46 28.77 +15 06 19.5","Gem","ACV|roAm|roAp|SXARI","--","9.69 - 9.72 G"
"Gaia DR3 3357782449647377664","--","06 42 58.50 +15 52 17.3","Gem","ACV|roAm|roAp|SXARI","--","9.75 - 9.78 G"
"Gaia DR3 3357813407771846784","--","06 40 45.87 +15 48 02.6","Gem","ACV|roAm|roAp|SXARI","--","9.78 - 9.82 G"
"Gaia DR3 3357910783270957440","--","06 45 59.96 +16 17 00.3","Gem","ACV|roAm|roAp|SXARI","--","8.14 - 8.17 G"
"Gaia DR3 3358010460871007616","--","06 51 13.07 +16 01 57.1","Gem","DSCT|GDOR|SXPHE","--","9.52 - 9.56 G"
"Gaia DR3 3358191158734520704","--","06 53 54.21 +16 51 23.7","Gem","SPB","--","9.72 - 9.79 G"
"Gaia DR3 3358209846133395328","--","06 52 21.90 +16 44 40.7","Gem","DSCT|GDOR|SXPHE","--","9.62 - 9.67 G"
"Gaia DR3 3358619074917057920","--","06 39 57.86 +16 21 39.4","Gem","ACV|roAm|roAp|SXARI","--","9.17 - 9.22 G"
"Gaia DR3 3358649586364506624","--","06 37 38.24 +16 16 13.5","Gem","ROT","--","9.66 - 9.68 G"
"Gaia DR3 3359070080842713216","--","06 37 12.79 +17 28 52.3","Gem","ACV|roAm|roAp|SXARI","--","9.55 - 9.58 G"
"Gaia DR3 3359088841260120576","--","06 39 22.37 +17 39 42.3","Gem","ACV|roAm|roAp|SXARI","--","9.32 - 9.43 G"
"Gaia DR3 3359382307784536192","--","06 48 11.59 +18 30 15.8","Gem","ACV|roAm|roAp|SXARI","--","9.51 - 9.53 G"
"Gaia DR3 3359744184548489216","--","07 07 54.12 +15 06 27.7","Gem","ACV|roAm|roAp|SXARI","--","9.65 - 9.72 G"
"Gaia DR3 3359906706110203776","--","07 09 19.74 +15 38 27.3","Gem","ACV|roAm|roAp|SXARI","--","9.44 - 9.49 G"
"Gaia DR3 3359971989614296064","--","07 04 35.29 +15 15 55.5","Gem","ACV|roAm|roAp|SXARI","--","8.80 - 8.82 G"
"Gaia DR3 3360074308617666816","--","07 04 36.50 +15 49 54.0","Gem","ACV|roAm|roAp|SXARI","--","8.99 - 9.02 G"
"Gaia DR3 3360388906382410752","--","07 13 11.13 +16 56 19.2","Gem","ACV|roAm|roAp|SXARI","--","9.10 - 9.12 G"
"Gaia DR3 3360703714601366528","--","07 13 11.20 +17 28 33.5","Gem","ACV|roAm|roAp|SXARI","--","9.77 - 9.81 G"
"Gaia DR3 3360745874000476928","--","07 11 31.69 +17 24 30.2","Gem","ACV|roAm|roAp|SXARI","--","8.91 - 8.95 G"
"Gaia DR3 3360829058929167744","--","07 01 14.32 +15 54 49.6","Gem","ROT","--","9.81 - 9.84 G"
"Gaia DR3 3361205572941076736","--","06 59 22.13 +17 11 47.2","Gem","ACV|roAm|roAp|SXARI","--","9.00 - 9.03 G"
"Gaia DR3 3361425956303519232","--","07 09 26.86 +17 39 28.4","Gem","ACV|roAm|roAp|SXARI","--","9.00 - 9.03 G"
"Gaia DR3 3361661286151196288","--","07 04 13.33 +17 43 47.7","Gem","ACV|roAm|roAp|SXARI","--","8.91 - 8.96 G"
"Gaia DR3 3361690590709312256","--","07 04 39.30 +18 10 36.7","Gem","ACV|roAm|roAp|SXARI","--","9.90 - 9.92 G"
"Gaia DR3 3361798445928046592","--","07 07 29.81 +18 19 56.1","Gem","ACV|roAm|roAp|SXARI","--","8.96 - 8.99 G"
"Gaia DR3 3361975432940371456","--","07 20 36.38 +17 26 29.0","Gem","ACV|roAm|roAp|SXARI","--","8.67 - 8.70 G"
"Gaia DR3 3362107894029116800","--","07 21 37.75 +18 03 19.3","Gem","ACV|roAm|roAp|SXARI","--","9.93 - 9.96 G"
"Gaia DR3 3362357139570884096","--","07 15 58.50 +18 41 31.5","Gem","ROT","--","8.85 - 8.88 G"
"Gaia DR3 3363231697993380736","--","07 15 48.64 +19 15 06.8","Gem","ACV|roAm|roAp|SXARI","--","9.85 - 9.87 G"
"Gaia DR3 3364143364929894272","--","07 16 48.14 +21 26 35.4","Gem","ACV|roAm|roAp|SXARI","--","9.97 - 10.00 G"
"Gaia DR3 3364656660764181120","--","06 58 15.03 +18 47 06.0","Gem","ACV|roAm|roAp|SXARI","--","9.56 - 9.62 G"
"Gaia DR3 3365427968173598848","--","06 50 51.11 +19 05 51.5","Gem","ACV|roAm|roAp|SXARI","--","9.36 - 9.40 G"
"Gaia DR3 3365441338407837312","--","06 50 03.20 +19 08 27.5","Gem","ACV|roAm|roAp|SXARI","--","9.93 - 9.98 G"
"Gaia DR3 3365521877635697152","--","06 54 22.15 +19 35 42.8","Gem","ACV|roAm|roAp|SXARI","--","8.01 - 8.04 G"
"Gaia DR3 3366171615990064256","--","06 54 14.75 +20 25 09.1","Gem","ACV|roAm|roAp|SXARI","--","9.92 - 9.94 G"
"Gaia DR3 3366253671342471168","--","06 50 57.89 +20 47 52.4","Gem","ACV|roAm|roAp|SXARI","--","8.41 - 8.44 G"
"Gaia DR3 3366262329996480000","--","06 51 35.12 +20 56 13.3","Gem","ACV|roAm|roAp|SXARI","--","9.86 - 9.90 G"
"Gaia DR3 3366340013067572736","--","06 57 20.23 +21 12 20.0","Gem","DSCT|GDOR|SXPHE","--","9.70 - 9.72 G"
"Gaia DR3 3366812841723752960","--","07 02 53.80 +20 43 35.3","Gem","ACV|roAm|roAp|SXARI","--","9.91 - 9.94 G"
"Gaia DR3 3366959553509011840","--","07 05 21.91 +21 30 58.2","Gem","ACV|roAm|roAp|SXARI","--","9.85 - 9.88 G"
"Gaia DR3 3367034702553987584","--","07 12 52.78 +21 11 49.7","Gem","ACV|roAm|roAp|SXARI","--","9.85 - 9.97 G"
"Gaia DR3 3367141973656849152","--","07 12 43.79 +21 53 39.4","Gem","RS","--","9.16 - 9.19 G"
"Gaia DR3 3367282539346501760","--","07 15 39.68 +22 32 20.6","Gem","ACV|roAm|roAp|SXARI","--","9.08 - 9.10 G"
"Gaia DR3 3367373489574439552","--","07 08 08.06 +21 54 46.3","Gem","ACV|roAm|roAp|SXARI","--","8.16 - 8.18 G"
"Gaia DR3 3367665856588818304","--","07 00 45.05 +21 29 42.0","Gem","ACV|roAm|roAp|SXARI","--","9.78 - 9.82 G"
"Gaia DR3 3367718869368456448","--","07 05 44.76 +21 41 49.0","Gem","ACV|roAm|roAp|SXARI","--","9.44 - 9.47 G"
"Gaia DR3 3367923348468783488","--","06 57 17.30 +21 50 36.6","Gem","ACV|roAm|roAp|SXARI","--","8.63 - 8.65 G"
"Gaia DR3 3368237121598988288","--","07 07 23.52 +22 47 43.8","Gem","ACV|roAm|roAp|SXARI","--","9.19 - 9.24 G"
"Gaia DR3 3368268281583641472","--","07 07 38.03 +23 12 01.8","Gem","ACV|roAm|roAp|SXARI","--","9.24 - 9.26 G"
"Gaia DR3 3370955114344063744","--","06 34 17.91 +17 13 35.7","Gem","ACV|roAm|roAp|SXARI","--","8.98 - 9.00 G"
"Gaia DR3 3371104544845728768","--","06 35 58.39 +17 51 46.6","Gem","ACV|roAm|roAp|SXARI","--","9.51 - 9.53 G"
"Gaia DR3 3371299154106989568","--","06 30 07.02 +18 03 48.3","Gem","ACV|roAm|roAp|SXARI","--","9.22 - 9.27 G"
"Gaia DR3 3371400137376012544","--","06 33 51.27 +18 44 18.9","Gem","ACV|roAm|roAp|SXARI","--","9.78 - 9.80 G"
"Gaia DR3 3371756589600324864","--","06 42 36.93 +19 36 44.6","Gem","ACV|roAm|roAp|SXARI","--","9.28 - 9.31 G"
"Gaia DR3 3371776827486981632","--","06 41 06.51 +19 47 06.7","Gem","ACV|roAm|roAp|SXARI","--","9.95 - 9.98 G"
"Gaia DR3 3371901759495858432","--","06 36 42.54 +19 42 12.9","Gem","ACV|roAm|roAp|SXARI","--","8.82 - 8.84 G"
"Gaia DR3 3372526522619431040","--","06 27 58.43 +19 59 58.2","Gem","ACV|roAm|roAp|SXARI","--","9.82 - 9.85 G"
"Gaia DR3 3372605893614876544","--","06 27 59.45 +20 20 39.7","Gem","DSCT|GDOR|SXPHE","--","9.91 - 9.94 G"
"Gaia DR3 3372645093777728128","--","06 34 54.44 +19 47 49.3","Gem","ACV|roAm|roAp|SXARI","--","9.71 - 9.74 G"
"Gaia DR3 3372850328792338944","--","06 34 50.13 +20 35 44.5","Gem","ACV|roAm|roAp|SXARI","--","9.57 - 9.60 G"
"Gaia DR3 3373064145146700416","--","06 33 46.46 +21 03 13.4","Gem","DSCT|GDOR|SXPHE","--","8.11 - 8.16 G"
"Gaia DR3 3373964271512028032","--","06 21 43.66 +19 36 56.0","Gem","ACV|roAm|roAp|SXARI","--","8.95 - 8.99 G"
"Gaia DR3 3375527536528059008","--","06 21 49.90 +20 00 04.1","Gem","ACV|roAm|roAp|SXARI","--","9.89 - 9.92 G"
"Gaia DR3 3375568385958740736","--","06 22 47.57 +20 26 53.3","Gem","ROT","--","8.90 - 8.93 G"
"Gaia DR3 3376010668808305024","--","06 22 23.16 +21 58 50.6","Gem","ACV|roAm|roAp|SXARI","--","9.11 - 9.14 G"
